phoneme,type,available,spelled
/b/,consonant,true,true
/d/,consonant,true,true
/f/,consonant,true,true
/g/,consonant,true,false
/h/,consonant,true,false
/j/,consonant,true,false
/k/,consonant,true,true
/l/,consonant,true,true
/m/,consonant,true,true
/n/,consonant,true,true
/ng/,consonant,true,true
/p/,consonant,true,true
/r/,consonant,false,false
/s/,consonant,true,false
/t/,consonant,true,true
/v/,consonant,true,true
/w/,consonant,false,false
/y/,consonant,true,false
/z/,consonant,true,true
/zh/,consonant,false,false
/ch/,consonant,true,false
/sh/,consonant,true,false
/th/,consonant,true,false
/a/,vowel,true,false
/e/,vowel,true,true
/i/,vowel,false,false
/o/,vowel,true,true
/u/,vowel,false,false
/oo/,vowel,false,false
/a-/,vowel,true,false
/e-/,vowel,true,true
/i-/,vowel,true,false
/o-/,vowel,false,true
/u:/,vowel,true,true
/yu:/,vowel,true,false
/oi/,vowel,true,true
/ow/,vowel,true,true
/a~r/,vowel,false,true
/a:r/,vowel,false,true
/u^r/,vowel,false,true
/o^r/,vowel,false,true
/e-e#r/,vowel,false,true
/u:e#r/,vowel,false,true
